n_procs,n_threads,time_taken,mpi_times,problem_size
1,1,0.52,0.00,1000000
1,2,0.68,0.00,2000000
1,3,1.04,0.00,3000000
1,4,1.42,0.00,4000000
1,5,1.79,0.00,5000000
1,6,2.17,0.00,6000000
1,7,2.57,0.00,7000000
1,8,2.94,0.00,8000000
1,9,3.32,0.00,9000000
1,10,3.71,0.00,10000000
1,11,4.10,0.00,11000000
1,12,4.51,0.00,12000000
1,13,4.89,0.00,13000000
1,14,5.29,0.00,14000000
1,15,5.69,0.00,15000000
1,16,6.10,0.00,16000000
1,17,6.47,0.00,17000000
1,18,6.89,0.00,18000000
1,19,7.31,0.00,19000000
1,20,7.72,0.00,20000000
1,21,8.13,0.00,21000000
1,22,8.53,0.00,22000000
1,23,8.94,0.00,23000000
1,24,9.35,0.00,24000000
1,25,9.78,0.00,25000000
1,26,10.26,0.00,26000000
1,27,10.61,0.00,27000000
1,28,11.00,0.00,28000000
1,29,11.39,0.00,29000000
1,30,11.77,0.00,30000000
2,1,0.57,0.04,2000000
2,2,0.77,0.09,4000000
2,3,1.17,0.13,6000000
2,4,1.59,0.17,8000000
2,5,2.01,0.22,10000000
2,6,2.43,0.26,12000000
2,7,2.86,0.30,14000000
2,8,3.29,0.34,16000000
2,9,3.71,0.39,18000000
2,10,4.16,0.43,20000000
2,11,4.58,0.47,22000000
2,12,5.02,0.52,24000000
2,13,5.45,0.56,26000000
2,14,5.91,0.60,28000000
2,15,6.33,0.64,30000000
2,16,6.81,0.69,32000000
2,17,7.28,0.73,34000000
2,18,7.70,0.77,36000000
2,19,8.14,0.82,38000000
2,20,8.61,0.86,40000000
2,21,9.10,0.90,42000000
2,22,9.50,0.94,44000000
2,23,9.93,0.99,46000000
2,24,10.37,1.03,48000000
2,25,10.81,1.07,50000000
2,26,11.34,1.12,52000000
2,27,11.75,1.16,54000000
2,28,12.24,1.20,56000000
2,29,12.65,1.25,58000000
2,30,13.16,1.29,60000000
4,1,0.66,0.13,4000000
4,2,0.94,0.26,8000000
4,3,1.44,0.39,12000000
4,4,1.96,0.52,16000000
4,5,2.46,0.65,20000000
4,6,2.98,0.78,24000000
4,7,3.49,0.91,28000000
4,8,4.01,1.05,32000000
4,9,4.68,1.18,36000000
4,10,5.04,1.31,40000000
4,11,5.57,1.44,44000000
4,12,6.11,1.57,48000000
4,13,6.63,1.70,52000000
4,14,7.16,1.83,56000000
4,15,7.67,1.96,60000000
4,16,8.26,2.08,64000000
4,17,8.76,2.21,68000000
4,18,9.35,2.35,72000000
4,19,9.86,2.48,76000000
4,20,10.37,2.60,80000000
4,21,10.92,2.74,84000000
4,22,11.47,2.87,88000000
4,23,11.97,3.00,92000000
4,24,12.61,3.13,96000000
4,25,13.16,3.26,100000000
4,26,13.68,3.39,104000000
4,27,14.22,3.51,108000000
4,28,14.79,3.64,112000000
4,29,15.35,3.77,116000000
4,30,15.92,3.90,120000000
8,1,0.85,0.31,8000000
8,2,1.34,0.63,16000000
8,3,2.04,0.94,24000000
8,4,2.74,1.25,32000000
8,5,3.45,1.56,40000000
8,6,4.17,1.87,48000000
8,7,4.89,2.19,56000000
8,8,5.61,2.50,64000000
8,9,6.34,2.81,72000000
8,10,7.04,3.12,80000000
8,11,7.77,3.43,88000000
8,12,8.49,3.75,96000000
8,13,9.24,4.06,104000000
8,14,9.96,4.37,112000000
8,15,10.69,4.68,120000000
8,16,11.43,4.99,128000000
8,17,12.19,5.32,136000000
8,18,12.92,5.63,144000000
8,19,13.66,5.93,152000000
8,20,14.43,6.25,160000000
8,21,15.13,6.55,168000000
8,22,15.88,6.88,176000000
8,23,16.75,7.18,184000000
8,24,17.39,7.49,192000000
8,25,18.10,7.80,200000000
8,26,18.94,8.12,208000000
8,27,19.68,8.43,216000000
8,28,20.38,8.74,224000000
8,29,21.14,9.05,232000000
8,30,21.88,9.36,240000000
16,1,1.24,0.69,16000000
16,2,2.12,1.37,32000000
16,3,3.21,2.06,48000000
16,4,4.31,2.75,64000000
16,5,5.42,3.44,80000000
16,6,6.52,4.12,96000000
16,7,7.63,4.81,112000000
16,8,8.72,5.49,128000000
16,9,9.85,6.19,144000000
16,10,10.95,6.87,160000000
16,11,12.12,7.55,176000000
16,12,13.20,8.24,192000000
16,13,14.33,8.96,208000000
16,14,15.45,9.61,224000000
16,15,16.56,10.27,240000000
16,16,17.70,10.98,256000000
16,17,18.85,11.66,272000000
16,18,19.97,12.36,288000000
16,19,21.19,13.07,304000000
16,20,22.25,13.76,320000000
16,21,23.40,14.44,336000000
16,22,24.48,15.10,352000000
16,23,26.11,15.81,368000000
16,24,26.75,16.45,384000000
16,25,27.97,17.17,400000000
16,26,29.11,17.89,416000000
16,27,30.20,18.54,432000000
16,28,31.89,19.27,448000000
16,29,32.37,19.77,464000000
16,30,33.69,20.60,480000000
